event,prob,n
"P(NFLX<=q, GLD<=q) @ q=0.05",0.0035475792988313858,4792
"P(NFLX<=q, GLD>=1-q) @ q=0.05",0.0037562604340567614,4792
"P(NFLX>=1-q, GLD>=1-q) @ q=0.05",0.003964941569282137,4792
"P(NFLX>=1-q, GLD<=q) @ q=0.05",0.002295492487479132,4792
